"Player","League","Team","Position","Age","Market value","Contract expires","Matches played","Minutes played","Goals","xG","Assists","xA","Birth country","Foot","Height","Successful defensive actions per 90","Defensive duels per 90","Defensive duels won, %","Aerial duels per 90","Aerial duels won, %","Shots blocked per 90","PAdj Interceptions","Successful attacking actions per 90","Non-penalty goals per 90","xG per 90","Head goals per 90","Shots per 90","Shots on target, %","Goal conversion, %","Crosses per 90","Accurate crosses, %","Dribbles per 90","Successful dribbles, %","Offensive duels per 90","Offensive duels won, %","Touches in box per 90","Progressive runs per 90","Accelerations per 90","Passes per 90","Accurate passes, %","Forward passes per 90","Accurate forward passes, %","Long passes per 90","Accurate long passes, %","xA per 90","Smart passes per 90","Key passes per 90","Passes to final third per 90","Accurate passes to final third, %","Passes to penalty area per 90","Accurate passes to penalty area, %","Deep completions per 90","Progressive passes per 90","Accurate progressive passes, %"
"B. Whitfield","England 3.","Burton Albion","AMF, RWF, RAMF","29","200000","2027-06-30","23","1349","1","2.09","2","2.52","England","right","165","4.6","3.34","58","1.93","31.03","0.2","3.45","3.14","0.07","0.14","0","1.6","33.33","4.167","2.8","28.57","3.27","53.06","5.47","40.24","1.93","2.4","1","20.88","62.94","6.4","47.92","1.93","27.59","0.17","0.2","0.47","2.54","52.63","2.8","33.33","0.4","3.8","66.67"
"O. Dale","England 3.","Wigan Athletic","LAMF, RWB, RCMF","27","450000","2026-05-31","17","1339","1","0.81","0","0.67","England","right","175","8.47","7.46","51.35","3.43","47.06","0","4.99","3.36","0.07","0.05","0","1.21","44.44","5.556","2.08","19.35","4.17","58.06","10.15","39.07","1.21","1.55","0.47","21.91","69.02","5.91","53.41","2.08","38.71","0.04","0","0.2","1.75","46.15","1.95","24.14","0.34","4.17","56.45"
"C. Vickers","England 3.","Mansfield Town","CF, LW","20","175000","2027-06-30","19","1328","2","3.21","3","2.82","England","right","172","4.27","4.41","60","3.25","14.58","0.07","2.11","4.54","0.14","0.22","0","1.69","24","8","2.91","39.53","5.56","51.22","13.22","38.46","2.98","3.32","0.07","30.43","81.07","5.96","62.5","1.02","53.33","0.19","0.2","0.54","2.44","63.89","3.12","47.83","0.88","3.86","71.93"
"M. Southam-Hales","England 3.","Stockport County","RWB, RB","29","0","","17","1325","3","0.65","0","1.86","Wales","right","175","8.42","5.03","62.16","3.6","43.4","0.27","6.77","2.51","0.2","0.04","0.14","0.54","37.5","37.5","3.19","42.55","1.36","60","3.74","45.45","1.49","0.82","0.34","31.38","71.21","11.07","52.76","5.23","36.36","0.13","0.14","0.48","4.62","48.53","2.92","46.51","0.54","7.13","60.95"
"F. Blake-Tracy","England 3.","Mansfield Town","LWB, LCB","30","200000","2026-06-30","18","1319","0","0.28","1","1.11","England","left","183","6.14","4.71","66.67","6.76","55.56","0.34","3.57","2.18","0","0.02","0","0.14","0","0","2.93","37.21","1.77","57.69","4.98","41.1","1.09","2.32","0.27","36.3","74.81","14.12","63.77","4.78","45.71","0.08","0.07","0.34","4.84","57.75","2.87","52.38","0.48","8.8","72.09"
"B. Perry","England 3.","Northampton Town","RCMF","21","0","2028-06-30","17","1315","0","0.98","0","0.39","England","right","183","10.13","9.31","63.24","6.37","46.24","0.14","5.69","0.27","0","0.07","0","0.48","0","0","0.27","0","0.55","50","5","46.58","0.96","0.21","0.07","12.66","65.95","5.06","41.89","1.51","36.36","0.03","0","0.07","2.19","43.75","0.41","16.67","0.14","1.51","31.82"
"V. Adeboyejo","England 3.","Bolton Wanderers","CF","27","850000","2026-06-30","27","1315","3","4.76","0","0.22","Nigeria","right","180","3.76","3.9","63.16","6.78","21.21","0","1.9","1.51","0.21","0.33","0","1.51","31.82","13.636","0.55","12.5","1.64","50","11.43","22.16","2.46","0.68","0.07","13","73.16","2.53","51.35","0.34","20","0.01","0.21","0.07","1.03","46.67","0.62","44.44","0.14","1.03","53.33"
"J. Fevrier","England 3.","Stockport County","RAMF, RB, RWB","22","300000","2027-06-30","27","1311","3","2.25","3","2.07","England","left","173","5.63","5.08","58.11","2.54","18.92","0","4.24","5.29","0.21","0.15","0","2.2","37.5","9.375","3.23","44.68","6.04","50","12.43","36.46","3.36","3.71","0.55","22.79","74.4","4.26","51.61","1.44","33.33","0.14","0","0.27","1.37","55","2.75","52.5","0.76","3.84","67.86"
"P. Mullin","England 3.","Wrexham","CF, AMF","31","900000","2027-06-30","26","1307","2","6.67","0","0.52","England","right","178","4.34","4.68","52.94","3.31","16.67","0","1.79","2.41","0.14","0.46","0","3.31","37.5","4.167","1.65","29.17","2.07","30","9.02","30.53","3.99","0.62","0.14","18.73","69.12","4.68","47.06","1.24","27.78","0.04","0.34","0.21","2.48","52.78","2.07","33.33","0.41","2.34","70.59"
"S. Fletcher","England 3.","Wrexham","CF, AMF","38","100000","","40","1305","8","9.13","1","1.03","England","left","185","3.45","2.21","46.88","19.93","51.9","0.14","3.4","2.48","0.41","0.63","0.14","3.45","52","16","0.28","50","1.38","40","6.97","26.73","4.76","0.14","0","17.03","65.59","4.69","41.18","0.62","33.33","0.07","0.07","0.21","2.41","42.86","1.38","40","0.97","1.72","52"
